57,69488.55,"Mccormick, Johnson and Mccall",2021-01-24,2021-01-24,30
58,33879.14,Myers Group,2021-01-28,2021-08-06,31
59,93233.07,Hill and Sons,2021-02-13,2021-05-25,31
60,34413.64,Romero LLC,2021-04-11,2021-11-01,31
61,4598.4,"Wright, Dunlap and Cain",2021-01-18,2021-04-18,32
62,48829.57,Jones Ltd,2021-06-27,2021-08-24,33
63,30224.65,Brown-Morgan,2021-01-25,2021-03-25,33
64,89750.69,Marsh-Bell,2021-05-06,2021-11-18,34
65,35966.45,Evans Group,2021-10-07,2021-12-19,34
66,25491.77,"Smith, Mullen and Vasquez",2021-04-10,2021-11-02,35
67,94625.26,"Welch, Delgado and Hill",2021-11-04,2021-12-05,36
68,99742.77,Colon Inc,2021-08-26,2021-10-05,36
69,30259.11,Young-Smith,2021-12-30,2021-12-30,36
70,74205.21,"Burton, Barker and Atkins",2021-04-13,2021-09-20,37
71,6645.75,Brown-Dyer,2021-12-15,2021-12-15,37
72,94391.82,"Walker, Day and Santos",2021-11-03,2021-11-14,37
73,5740.14,"Duarte, Simpson and Kramer",2021-06-12,2021-10-08,38
74,73672.26,Lopez Ltd,2021-07-22,2021-11-29,38
75,18785.05,"Williams, Johnson and Smith",2021-12-24,2021-12-30,39
76,28042.49,Bowman-Blackwell,2021-02-05,2021-02-18,39
77,14143.47,"Dixon, Villarreal and Moore",2021-04-18,2021-04-21,40
78,7340.96,Yoder LLC,2021-12-11,2021-12-23,41
79,50167.94,"Simon, Williams and Ingram",2021-08-07,2021-10-11,41
80,89676.76,Rivera-Fischer,2021-01-10,2021-08-19,42
81,36587.43,Gray Inc,2021-10-04,2021-10-17,42
82,29763.77,Vasquez Ltd,2021-10-20,2021-11-05,43
83,65303.19,Young Ltd,2021-03-28,2021-10-20,43
84,10998.9,"Williams, Rosales and Johnson",2021-06-07,2021-07-29,44
85,94817.64,Schwartz Inc,2021-01-01,2021-07-13,44
86,83291.69,White PLC,2021-10-14,2021-11-24,45
87,50845.76,"Flowers, Pennington and Kim",2021-06-15,2021-06-20,45
88,4445.59,Moore-Henderson,2021-02-08,2021-11-26,46
89,62435.95,"Young, Carroll and Colon",2021-10-07,2021-12-29,47
90,60774.09,"Fisher, Schultz and Barnett",2021-05-26,2021-08-28,47
91,30545.9,Stanley-Barrett,2021-12-22,2021-12-26,48
92,7168.28,"Johnson, Young and Gamble",2021-01-05,2021-07-17,48
93,46097.92,Day LLC,2021-10-06,2021-10-10,48
94,57805.69,"Kline, Osborne and Mitchell",2021-03-14,2021-10-23,49
95,51321.68,Anthony-Gregory,2021-10-10,2021-10-19,49
96,80164.47,Acosta-Jordan,2021-06-18,2021-08-25,50
97,15288.89,Peters Ltd,2021-07-24,2021-10-12,51
98,82667.36,Coleman-Castillo,2021-02-16,2021-11-12,51
99,15907.32,Brown-Jones,2021-11-06,2021-11-07,51
100,19712.78,Cervantes Group,2021-03-23,2021-11-08,52
101,77697.88,"Mclaughlin, Johnson and Keller",2021-04-18,2021-08-28,53
102,9766.39,Mathews Inc,2021-09-13,2021-11-01,53
103,15243.85,Lewis Group,2021-01-27,2021-06-26,54
104,12461.78,May-Hubbard,2021-09-08,2021-10-13,55
105,74003.98,King and Sons,2021-11-17,2021-12-01,56
106,5838.5,"Campos, Wilson and Hood",2021-05-18,2021-07-01,56
107,3791.9,Hernandez-Ramirez,2021-06-08,2021-06-20,56
108,67061.15,Suarez-Green,2021-03-21,2021-09-23,57
109,28626.05,"Flores, Jones and Cox",2021-03-06,2021-05-18,58
110,11084.94,Elliott-Dodson,2021-06-16,2021-12-03,58
111,43772.92,"Fitzpatrick, Torres and Davis",2021-10-30,2021-12-12,59
112,85047.07,Watson-Santiago,2021-09-19,2021-12-04,59
113,19167.96,Steele-Valenzuela,2021-07-30,2021-08-01,60
114,89006.62,Watts-White,2021-10-10,2021-12-26,60
115,91454.59,Evans-Poole,2021-06-04,2021-09-01,60
116,88139.91,"Williams, Rodgers and Moore",2021-05-26,2021-07-31,61
117,45692.46,Moore-Anderson,2021-12-03,2021-12-12,61
118,43853.36,Stone LLC,2021-12-09,2021-12-27,61
119,67103.74,Nguyen-Burns,2021-11-19,2021-11-24,62
120,94643.01,"Eaton, Evans and Osborne",2021-08-31,2021-12-24,62
121,82232.82,Morrow-Wong,2021-08-28,2021-12-12,63
122,12198.87,Sanchez and Sons,2021-06-05,2021-10-22,63
123,11618.91,"Chen, Davis and Hardin",2021-12-19,2021-12-30,63
124,64864.54,Salazar-Taylor,2021-08-15,2021-09-18,64
125,99197.82,"Richards, Cochran and Phillips",2021-05-23,2021-09-23,64
126,67140.62,Hart Inc,2021-08-27,2021-09-28,64
127,90980.77,Davis Group,2021-10-18,2021-12-06,65
128,55514.47,Arellano PLC,2021-11-04,2021-11-15,65
129,34142.0,Mooney Ltd,2021-04-22,2021-08-05,66
130,27219.87,Anderson Ltd,2021-02-02,2021-09-22,66
131,78980.27,Jones-Singh,2021-03-24,2021-05-23,67
132,86634.34,Martin-Newman,2021-08-03,2021-09-19,67
133,70725.07,"Pierce, Davis and Montgomery",2021-11-08,2021-11-18,68
134,88763.45,Henderson-Wright,2021-08-06,2021-09-11,68
135,98053.91,Mueller Ltd,2021-05-11,2021-06-24,69
136,11401.54,Reid-Gibson,2021-06-16,2021-12-19,69
137,9015.79,Logan-Pope,2021-05-31,2021-11-06,69
138,26807.91,Johnson PLC,2021-06-26,2021-06-30,70
139,54324.28,Hendrix and Sons,2021-01-08,2021-01-15,70
140,21543.42,Morris Group,2021-01-07,2021-05-27,71
141,78467.02,Grimes LLC,2021-10-14,2021-12-15,71
142,43048.02,"Ryan, Schultz and Carlson",2021-03-11,2021-09-05,71
143,81583.18,Jones PLC,2021-09-01,2021-11-21,72
144,79157.17,Garcia-Gonzalez,2021-06-14,2021-06-22,72
145,29270.01,Beck-Atkins,2021-09-02,2021-10-09,73
146,50288.62,Smith Group,2021-11-30,2021-12-29,73
147,65521.62,Lopez and Sons,2021-11-26,2021-11-27,74
148,17374.42,"Mccullough, Jones and Moody",2021-05-26,2021-06-29,74
149,55653.73,Marshall and Sons,2021-07-02,2021-12-09,75
150,93567.23,Wright-Vasquez,2021-06-25,2021-09-14,75
151,54578.18,Hammond-Nelson,2021-09-10,2021-12-26,75
152,96797.59,Arroyo Group,2021-11-08,2021-12-23,76
153,90916.32,Edwards Group,2021-09-10,2021-12-18,76
154,33182.56,Morales-Moore,2021-04-12,2021-09-13,77
155,45018.52,"Waters, Cobb and Lee",2021-11-01,2021-12-24,77
156,92759.69,Bowers-Barrett,2021-03-17,2021-07-19,77
157,47187.6,Franco-Pacheco,2021-01-29,2021-05-05,78
158,42429.18,Miller-Mcdaniel,2021-12-01,2021-12-27,78
159,32241.16,Weaver-Bennett,2021-04-02,2021-05-25,79
160,11783.81,"Smith, Williams and Berry",2021-09-03,2021-09-16,79
161,7321.74,"Davidson, Taylor and Steele",2021-03-23,2021-05-17,79
162,28516.55,"Dominguez, Lane and Campbell",2021-06-21,2021-07-08,80
163,43425.31,"Sanchez, Allen and Fritz",2021-11-10,2021-11-30,80
164,4564.92,Anderson-Sampson,2021-06-27,2021-07-02,81
165,37971.06,Cisneros and Sons,2021-01-16,2021-10-01,81
166,94744.56,Harris and Sons,2021-08-26,2021-10-17,82
167,68898.31,Newman LLC,2021-01-22,2021-03-03,82
168,10905.46,"Nelson, Peterson and Khan",2021-05-17,2021-10-16,82
169,73035.12,Raymond Group,2021-08-23,2021-08-28,83
170,47905.92,Armstrong-Singleton,2021-03-25,2021-08-14,84
171,72237.33,Tate Group,2021-11-24,2021-12-08,84
172,6946.52,"Hart, Smith and Rosario",2021-01-11,2021-04-12,84
173,5676.82,Cisneros-Herrera,2021-03-14,2021-03-23,85
174,58213.81,Mendez PLC,2021-05-07,2021-05-26,86
175,84605.73,Sanford-Winters,2021-03-02,2021-11-26,86
176,3733.99,Hamilton-Rhodes,2021-11-14,2021-12-11,87
177,21762.98,Estrada LLC,2021-01-28,2021-04-21,87
178,55112.02,Sullivan and Sons,2021-09-13,2021-11-18,88
179,17358.03,Cox-Taylor,2021-06-25,2021-07-03,88
180,85665.89,Collins-Johnson,2021-01-05,2021-04-22,88
181,26957.64,Lopez Inc,2021-10-25,2021-12-18,89
182,74710.6,Long LLC,2021-03-03,2021-10-08,90
183,76838.72,Green-Copeland,2021-12-04,2021-12-15,91
184,48128.52,"Day, House and Arnold",2021-06-20,2021-08-16,92
185,67761.12,"Gibbs, Mcclain and Miller",2021-08-08,2021-11-08,92
186,68793.45,Hughes-Taylor,2021-02-11,2021-05-23,93
187,49538.83,"Gibson, Foster and Smith",2021-01-24,2021-06-16,93
188,85281.15,Jackson and Sons,2021-05-16,2021-10-24,94
189,27742.15,"Knapp, Perry and Stephenson",2021-07-05,2021-08-05,94
190,69643.8,Castro Inc,2021-07-06,2021-11-15,95
191,47229.15,"Carrillo, Simpson and Gonzalez",2021-08-31,2021-11-09,95
192,80282.77,Hernandez Inc,2021-11-23,2021-11-25,95
193,44242.17,"Smith, Klein and Jones",2021-01-15,2021-12-08,96
194,76415.64,Edwards Inc,2021-06-06,2021-12-24,96
195,22505.14,Howard-Avila,2021-06-24,2021-12-27,96
196,47487.66,Durham PLC,2021-03-14,2021-05-28,97
197,16875.37,"Rodriguez, Henderson and Michael",2021-12-27,2021-12-27,98
198,97335.46,Pearson-Rowe,2021-03-03,2021-11-18,99
199,53982.02,Jones Ltd,2021-03-20,2021-07-13,100
200,67268.29,Patterson-Stephens,2021-09-21,2021-10-19,100
201,60994.32,"Gonzales, Taylor and Walsh",2021-03-29,2021-05-13,100
